#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,Continent
,World,"174,052,586","+11,014","3,744,029",+239,"157,329,363","12,979,194","87,133","22,329",480.3,,,,All
,Asia,"52,456,042","+6,994","711,583",+113,"49,052,116","2,692,343","28,525",,,,,,Asia
,Europe,"46,889,915",+928,"1,078,837",+14,"44,009,888","1,801,190","12,489",,,,,,Europe
,North America,"39,976,257","+1,653","902,613",+69,"32,934,549","6,139,095","12,868",,,,,,North America
1,USA,"34,210,782",,"612,366",,"28,122,737","5,475,679","5,287","102,795","1,840","486,868,950","1,462,915","332,807,303",North America
,South America,"29,695,441","+1,428","917,064",+43,"26,798,175","1,980,202","30,738",,,,,,South America
2,India,"28,909,975",+371,"349,229",,"27,159,180","1,401,566","8,944","20,760",251,"366,334,111","263,057","1,392,605,249",Asia
3,Brazil,"16,947,062",,"473,495",,"15,342,286","1,131,281","8,318","79,205","2,213","49,842,105","232,946","213,963,780",South America
4,France,"5,712,753",,"109,998",,"5,409,110","193,645","2,527","87,340","1,682","86,950,045","1,329,350","65,407,928",Europe
5,Turkey,"5,287,980",,"48,164",,"5,160,774","79,042","1,096","62,079",565,"55,455,452","651,025","85,181,705",Asia
6,Russia,"5,126,437",,"123,787",,"4,736,446","266,204","2,300","35,114",848,"140,400,000","961,692","145,992,723",Europe
,Africa,"4,964,834",,"132,663",,"4,467,082","365,089","2,504",,,,,,Africa
7,UK,"4,516,892",,"127,840",,"4,275,093","113,959",134,"66,213","1,874","186,643,217","2,735,997","68,217,623",Europe
8,Italy,"4,232,428",,"126,523",,"3,913,633","192,272",774,"70,098","2,095","67,327,507","1,115,081","60,379,014",Europe
9,Argentina,"3,955,439",,"81,214",,"3,529,033","345,192","7,776","86,778","1,782","14,563,226","319,502","45,581,021",South America
10,Germany,"3,708,779",,"89,851",,"3,538,000","80,928","2,036","44,135","1,069","61,380,686","730,434","84,033,199",Europe
11,Spain,"3,697,987",,"80,196",,"3,471,163","146,628","1,163","79,065","1,715","49,708,830","1,062,799","46,771,639",Europe
12,Colombia,"3,571,067",,"91,961",,"3,310,737","168,369","6,582","69,494","1,790","17,573,266","341,982","51,386,468",South America
13,Iran,"2,966,363",,"81,063",,"2,552,401","332,899","3,769","34,902",954,"20,688,723","243,424","84,990,551",Asia
14,Poland,"2,875,136",,"74,152",,"2,645,150","155,834",489,"76,046","1,961","16,259,923","430,066","37,808,004",Europe
15,Mexico,"2,433,681","+1,401","228,804",+50,"1,939,596","265,281","4,798","18,693","1,757","7,131,367","54,776","130,190,606",North America
16,Ukraine,"2,214,517",,"51,182",,"2,093,228","70,107",177,"50,922","1,177","10,336,155","237,674","43,488,773",Europe
17,Peru,"1,983,570",,"186,511",,N/A,N/A,"2,642","59,392","5,585","13,173,460","394,440","33,397,915",South America
18,Indonesia,"1,856,038",,"51,612",,"1,705,971","98,455",,"6,720",187,"17,256,564","62,476","276,209,283",Asia
19,South Africa,"1,696,564",,"56,974",,"1,578,033","61,557",546,"28,275",950,"11,876,594","197,935","60,002,614",Africa
20,Czechia,"1,663,517",,"30,159",,"1,624,721","8,637",48,"155,071","2,811","25,617,597","2,388,037","10,727,472",Europe
21,Netherlands,"1,663,050",,"17,678",,"1,528,392","116,980",354,"96,857","1,030","14,036,639","817,502","17,170,155",Europe
22,Chile,"1,427,956",,"29,937",,"1,347,676","50,343","3,242","74,108","1,554","15,208,908","789,308","19,268,654",South America
23,Canada,"1,392,563",,"25,724",,"1,342,645","24,194",873,"36,599",676,"35,171,179","924,351","38,049,583",North America
24,Philippines,"1,269,478",,"21,898",,"1,188,243","59,337","1,704","11,444",197,"13,716,493","123,645","110,934,272",Asia
25,Iraq,"1,224,992",,"16,538",,"1,142,093","66,361",448,"29,836",403,"10,679,333","260,107","41,057,533",Asia
26,Romania,"1,078,863",,"30,815",,"1,042,898","5,150",320,"56,432","1,612","9,218,974","482,214","19,118,013",Europe
27,Sweden,"1,078,062",,"14,485",,"998,436","65,141",155,"106,131","1,426","10,016,375","986,076","10,157,809",Europe
28,Belgium,"1,070,802",+928,"25,033",+14,"978,751","67,018",336,"92,021","2,151","14,255,140","1,225,033","11,636,538",Europe
29,Pakistan,"933,630","+1,490","21,323",+58,"864,931","47,376","3,205","4,152",95,"13,572,884","60,360","224,864,293",Asia
30,Portugal,"852,646",,"17,034",,"811,897","23,715",52,"83,848","1,675","11,966,284","1,176,741","10,169,006",Europe
31,Israel,"839,571",,"6,418",,"832,932",221,37,"90,025",688,"14,739,061","1,580,427","9,326,000",Asia
32,Bangladesh,"810,990",,"12,839",,"751,322","46,829","1,161","4,879",77,"6,049,873","36,398","166,213,171",Asia
33,Hungary,"806,008",,"29,854",,"716,163","59,991",68,"83,633","3,098","5,910,248","613,255","9,637,497",Europe
34,Japan,"760,323",,"13,523",,"703,525","43,275","1,131","6,029",107,"14,936,069","118,431","126,115,684",Asia
35,Jordan,"739,847",,"9,530",,"721,016","9,301",540,"71,849",925,"7,407,053","719,327","10,297,205",Asia
36,Serbia,"713,678",,"6,917",,"700,810","5,951",26,"81,989",795,"4,211,448","483,820","8,704,570",Europe
37,Switzerland,"697,292",,"10,832",,"656,591","29,869",109,"80,025","1,243","7,799,402","895,100","8,713,445",Europe
38,Austria,"646,800",,"10,639",,"630,942","5,219",140,"71,437","1,175","45,278,379","5,000,827","9,054,179",Europe
39,Malaysia,"616,815",,"3,378",,"526,809","86,628",890,"18,834",103,"12,670,559","386,878","32,750,801",Asia
40,Nepal,"588,124",,"7,898",,"491,009","89,217",,"19,854",267,"3,143,062","106,104","29,622,327",Asia
41,UAE,"583,071",,"1,699",,"562,576","18,796",,"58,299",170,"51,715,852","5,170,907","10,001,312",Asia
42,Lebanon,"541,557",,"7,763",,"523,476","10,318",94,"79,676","1,142","4,490,314","660,636","6,796,955",Asia
43,Morocco,"521,426",,"9,178",,"509,083","3,165",101,"13,973",246,"6,568,573","176,023","37,316,643",Africa
44,Saudi Arabia,"457,546",,"7,456",,"440,644","9,446","1,545","12,956",211,"19,750,566","559,244","35,316,556",Asia
45,Ecuador,"432,353",,"20,809",,"398,645","12,899",492,"24,165","1,163","1,445,777","80,808","17,891,477",South America
46,Bulgaria,"419,473",,"17,820",,"386,099","15,554",287,"60,796","2,583","2,904,717","420,994","6,899,657",Europe
47,Greece,"409,368",,"12,277",,"381,330","15,761",398,"39,455","1,183","9,791,765","943,731","10,375,594",Europe
48,Belarus,"399,852",,"2,910",,"392,366","4,576",,"42,328",308,"6,427,830","680,451","9,446,429",Europe
49,Kazakhstan,"395,064",+989,"4,076",+19,"367,285","23,703",221,"20,809",215,"11,575,012","609,687","18,985,170",Asia
50,Slovakia,"390,436",,"12,404",,"376,431","1,601",57,"71,481","2,271","2,862,336","524,035","5,462,104",Europe
51,Bolivia,"387,162","+1,428","15,024",+43,"306,819","65,319",200,"32,753","1,271","1,550,511","131,169","11,820,739",South America
52,Panama,"382,475",,"6,402",,"368,365","7,708",105,"87,368","1,462","2,722,147","621,816","4,377,739",North America
53,Paraguay,"373,165",,"9,874",,"306,695","56,596",593,"51,729","1,369","1,349,919","187,129","7,213,850",South America
54,Croatia,"357,565",,"8,086",,"347,997","1,482",55,"87,603","1,981","2,045,229","501,078","4,081,660",Europe
55,Tunisia,"355,732",,"12,980",,"311,340","31,412",424,"29,810","1,088","1,514,922","126,947","11,933,453",Africa
56,Georgia,"349,098",,"4,910",,"333,505","10,683",,"87,668","1,233","5,147,033","1,292,564","3,982,034",Asia
